,0,1,,ç∑,ìÒèÊ,MSE,RMSE
285,0.000620008,0.002574392,,,,,
286,0.000620008,0.002574392,,,,,
287,0.000620008,0.002574392,,,,,
288,0.000620008,0.002574392,,,,,
289,0.000620008,0.002574392,,,,,
290,0.000620008,0.002574392,,,,,
291,0.000620008,0.002574392,,,,,
292,0.000620008,0.002574392,,,,,
293,0.000620008,0.002574392,,,,,
294,0.000620008,0.002574392,,,,,
295,0.000620008,0.002574392,,,,,
296,0.000620008,0.002574392,,,,,
297,0.000620008,0.002574392,,,,,
298,0.000620008,0.002574392,,,,,
299,0.000620008,0.002574392,,,,,
300,0.000620008,0.002574392,,,,,
301,0.000620008,0.002574392,,,,,
302,0.000620008,0.002574392,,,,,
303,0.000620008,0.002574392,,,,,
304,0.000620008,0.002574392,,,,,
305,0.000620008,0.002574392,,,,,
306,0.000620008,0.002574392,,,,,
307,0.000620008,0.002574392,,,,,
308,0.000620008,0.002574392,,,,,
309,0.000620008,0.002574392,,,,,
310,0.000620008,0.002574392,,,,,
311,0.000620008,0.002574392,,,,,
312,0.000620008,0.002574392,,,,,
313,0.000620008,0.002574392,,,,,
314,0.000620008,0.002574392,,,,,
315,0.000620008,0.002574392,,,,,
316,0.000620008,0.002574392,,,,,
317,0.000620008,0.002574392,,,,,
318,0.000620008,0.002574392,,,,,
319,0.000620008,0.002574392,,,,,
320,0.000620008,0.002574392,,,,,
321,0.000620008,0.002574392,,,,,
322,0.000620008,0.002574392,,,,,
323,0.000620008,0.002574392,,,,,
324,0.000620008,0.002574392,,,,,
325,0.000620008,0.002574392,,,,,
326,0.000620008,0.002574392,,,,,
327,0.000620008,0.002574392,,,,,
328,0.000620008,0.002574392,,,,,
329,0.000620008,0.002574392,,,,,
330,0.000620008,0.002574392,,,,,
331,0.000620008,0.002574392,,,,,
332,0.000620008,0.002574392,,,,,
333,0.000620008,0.002574392,,,,,
334,0.000620008,0.002574392,,,,,
335,0.000620008,0.002574392,,,,,
336,0.000620008,0.002574392,,,,,
337,0.000620008,0.002574392,,,,,
338,0.000620008,0.002574392,,,,,
339,0.000620008,0.002574392,,,,,
340,0.000620008,0.002574392,,,,,
341,0.000620008,0.002574392,,,,,
342,0.000620008,0.002574392,,,,,
343,0.000620008,0.002574392,,,,,
344,0.000620008,0.002574392,,,,,
345,0.000620008,0.002574392,,,,,
346,0.000620008,0.002574392,,,,,
347,0.000620008,0.002574392,,,,,
348,0.000620008,0.002574392,,,,,
349,0.000620008,0.002574392,,,,,
350,0.000620008,0.002574392,,,,,
351,0.000620008,0.002574392,,,,,
352,0.000620008,0.002574392,,,,,
353,0.000620008,0.002574392,,,,,
354,0.000620008,0.002574392,,,,,
355,0.000620008,0.002574392,,,,,
356,0.000620008,0.002574392,,,,,
357,0.000620008,0.002574392,,,,,
358,0.000620008,0.002574392,,,,,
359,0.000620008,0.002574392,,,,,
360,0.000620008,0.002574392,,,,,
361,0.000620008,0.002574392,,,,,
362,0.000620008,0.002574392,,,,,
363,0.000620008,0.002574392,,,,,
364,0.000620008,0.002574392,,,,,
365,0.000620008,0.002574392,,,,,
366,0.000620008,0.002574392,,,,,
